gameid,league_code,Winner,League,Phase,Blue,Red,Score,Patch,BB1,RB1,BB2,RB2,BB3,RB3,BP1,RP1,RP2,BP2,BP3,RP3,RB4,BB4,RB5,BB5,RP4,BP4,BP5,RP5,Winner,BR1,BR2,BR3,BR4,BR5,RR1,RR2,RR3,RR4,RR5
ESPORTSTMNT03_2713123,MSI,2,2022_Mid-Season_Invitational,Groups Day 5,ORDER,Evil Geniuses,0 - 1,12.8,LeBlanc,Ahri,Twisted Fate,Lucian,Wukong,Diana,Karthus,Evelynn,Tryndamere,Leona,Renekton,Jhin,Tristana,Gangplank,Kai'Sa,Aatrox,Bard,Graves,Akali,Irelia,2,Bot,Support,Top,Jungle,Mid,Jungle,Top,Bot,Support,Mid
ESPORTSTMNT03_2713110,MSI,1,2022_Mid-Season_Invitational,Groups Day 5,G2 Esports,Evil Geniuses,1 - 0,12.8,Twisted Fate,Ahri,Zeri,Lucian,LeBlanc,Pyke,Wukong,Lillia,Leona,Ezreal,Rakan,Tryndamere,Galio,Kai'Sa,Akali,Xayah,Tristana,Gnar,Sylas,Gangplank,1,Jungle,Bot,Support,Top,Mid,Jungle,Support,Mid,Bot,Top
ESPORTSTMNT03_2713067,MSI,1,2022_Mid-Season_Invitational,Groups Day 5,G2 Esports,ORDER,1 - 0,12.8,Karthus,Wukong,Diana,Ahri,Aatrox,Lucian,Twisted Fate,Ezreal,Karma,Kai'Sa,Pyke,Graves,Camille,Sylas,Tryndamere,Gwen,LeBlanc,Nidalee,Sion,Ornn,1,Mid,Bot,Support,Jungle,Top,Bot,Support,Jungle,Mid,Top
ESPORTSTMNT03_2713059,MSI,1,2022_Mid-Season_Invitational,Groups Day 5,Evil Geniuses,ORDER,1 - 0,12.8,Diana,Wukong,Evelynn,Lucian,Karthus,Ahri,LeBlanc,Tristana,Viego,Xayah,Graves,Lissandra,Gwen,Leona,Gangplank,Aatrox,Rakan,Ornn,Gragas,Kayle,1,Mid,Bot,Jungle,Top,Support,Bot,Jungle,Mid,Support,Top
ESPORTSTMNT03_2713042,MSI,2,2022_Mid-Season_Invitational,Groups Day 5,Evil Geniuses,G2 Esports,0 - 1,12.8,Pyke,Wukong,Sylas,Ahri,LeBlanc,Lucian,Twisted Fate,Yasuo,Diana,Gwen,Viego,Vladimir,Ezreal,Rakan,Leona,Gragas,Senna,Jinx,Tahm Kench,Nautilus,2,Mid,Top,Jungle,Bot,Support,Mid,Jungle,Top,Bot,Support
ESPORTSTMNT03_2712884,MSI,2,2022_Mid-Season_Invitational,Groups Day 4,TALON,Royal Never Give Up,0 - 1,12.8,Lucian,Ahri,Twisted Fate,Wukong,Ezreal,Senna,Graves,Viego,Aphelios,Miss Fortune,Leona,LeBlanc,Vex,Alistar,Zoe,Nautilus,Sett,Lissandra,Vladimir,Irelia,2,Jungle,Bot,Support,Mid,Top,Jungle,Bot,Mid,Support,Top
ESPORTSTMNT03_2712881,MSI,1,2022_Mid-Season_Invitational,Groups Day 4,RED Canids,İstanbul Wildcats,1 - 0,12.8,Kalista,Ahri,Samira,Wukong,Kai'Sa,Lucian,Gwen,Tryndamere,Jhin,Leona,Zeri,Alistar,Graves,Diana,Sylas,Ekko,Viego,Lee Sin,Zoe,Viktor,1,Top,Support,Bot,Jungle,Mid,Top,Bot,Support,Jungle,Mid
ESPORTSTMNT03_2712878,MSI,2,2022_Mid-Season_Invitational,Groups Day 4,RED Canids,Royal Never Give Up,0 - 1,12.8,Camille,Ahri,Ezreal,Lucian,Volibear,Wukong,Gwen,Kai'Sa,Nautilus,Viego,Leona,Jax,Kalista,Graves,Draven,Galio,Lee Sin,Jhin,Vex,Twisted Fate,2,Top,Jungle,Support,Bot,Mid,Bot,Support,Top,Jungle,Mid
ESPORTSTMNT03_2712868,MSI,2,2022_Mid-Season_Invitational,Groups Day 4,İstanbul Wildcats,TALON,0 - 1,12.8,Renata Glasc,Lucian,Gangplank,Samira,Wukong,Kalista,Ahri,Graves,Vex,Kai'Sa,Nautilus,Leona,Viego,Xayah,Tryndamere,Gnar,Gwen,Xin Zhao,Gragas,Jhin,2,Mid,Bot,Support,Jungle,Top,Jungle,Mid,Support,Top,Bot
ESPORTSTMNT03_2712861,MSI,1,2022_Mid-Season_Invitational,Groups Day 4,Royal Never Give Up,İstanbul Wildcats,1 - 0,12.8,Samira,Camille,Kalista,Ahri,LeBlanc,Lucian,Wukong,Kai'Sa,Diana,Ezreal,Leona,Irelia,Vex,Yasuo,Gwen,Nautilus,Pyke,Gangplank,Zoe,Vladimir,1,Jungle,Bot,Support,Top,Mid,Bot,Jungle,Mid,Support,Top
